"","AUDNZD.Curncy","EURAUD.Curncy","EURCHF.Curncy","EURGBP.Curncy","EURJPY.Curncy","AD1.A.00_0_R.Curncy","EC1.A.00_0_R.Curncy","BP1.A.00_0_R.Curncy","JY1.A.00_0_R.Curncy","PE1.A.00_0_R.Curncy","TU1.A.00_0_R.Comdty","TY1.A.00_0_R.Comdty","DU1.A.00_0_R.Comdty","RX1.A.00_0_R.Comdty","G.A.00_0_R.1.Comdty","JB1.A.00_0_R.Comdty","ES1.A.00_0_R.Index","VG1.A.00_0_R.Index","ND1.A.00_0_R.Index","Z.A.00_0_R.1.Index","HI1.A.00_0_R.Index","NX1.A.00_0_R.Index","SM1.A.00_0_R.Index","C.1.A.00_0_R.Comdty","CT1.A.00_0_R.Comdty","SB1.A.00_0_R.Comdty","KC1.A.00_0_R.Comdty","CC1.A.00_0_R.Comdty","LH1.A.00_0_R.Comdty","LC1.A.00_0_R.Comdty","S.1.A.00_0_R.Comdty","BO1.A.00_0_R.Comdty","CL1.A.00_0_R.Comdty","NG1.A.00_0_R.Comdty","GC1.A.00_0_R.Comdty","SI1.A.00_0_R.Comdty","LMCADS03.A.00_0_R.Comdty","LMAHDS03.A.00_0_R.Comdty","LMNIDS03.A.00_0_R.Comdty","LMZSDS03.A.00_0_R.Comdty"
"2005/4/1",-0.0173638263125326,-0.0281850710755438,0.049000518300041,-0.0211295069302817,0.0373665720400165,0.0521627926440056,0.0407247418680094,0.0706511426800888,-0.00316068969666926,0.0792980209211908,-0.76996319689443,-0.0181258865007611,0.730930692296755,0.290176458032681,-0.0402640608630768,0.434016884818319,0.0349671776889474,0.0565914744205396,-0.010265628026875,0.10680015812221,0.0333441818519142,0.0203900958535745,0.0848589702660146,-0.0143221611249129,0.00330940715623188,-0.00737716282016401,0.0101462708927749,0.0024170368886507,0.00326433689309519,0.0014049601260641,0.00375809161642167,0.00150930309154072,0.0796372050166214,0.000186724434006375,0.0591644973412715,0.00735265277088684,0.0366151718720164,0.0314500946219993,0.0164415196754205,0.0368192422687614
"2005/4/4",-0.0221666592189146,-0.0336580215046506,0.0532468311007788,-0.0297190005655845,0.0428620919292651,0.0472802364119405,0.0254271704183878,0.0555283565542602,-0.0139189923693643,0.0618713323395931,-0.756748309989484,-0.0203574219857836,0.734564379709625,0.288317824164659,-0.0089847310866699,0.452470489290936,0.0325962210441369,0.0573246481580967,-0.0100802533192499,0.103451726817794,0.0349461209456287,0.0208333325404773,0.0641873553230093,-0.0148843308532661,0.00266071829261574,-0.00674874122960429,0.0101570654652962,0.00314159251999481,0.00247529688011878,-0.00413366767601162,0.00344034286686476,0.00221270021036797,0.0784365737724159,-0.00257806503743871,0.0468957846489398,0.00851808086590325,0.0398360100849939,0.0350425395087763,0.0201455409352068,0.0370636362427924
"2005/4/5",-0.0263489554182431,-0.0316134622256808,0.0258926435218492,-0.0343747555158799,0.0518818080510487,0.0412684603335996,0.0176698703690206,0.0509438843709436,-0.0300241091322553,0.0641460720548473,-0.733455299602507,-0.0236368097384087,0.681046164567106,0.287639384414177,-0.0163062367169156,0.39172678028319,0.0457218668220168,0.0745571911558569,-0.00530037978730969,0.114715999787262,0.0328527209865072,0.0262946332576724,0.0721640200271745,-0.0165640172824439,0.00238347817499175,-0.00487835037395791,0.010066887030956,0.00228443141411182,-0.00174252775102258,-0.0069132905882343,0.00358466272977328,0.00208939665750966,0.0665547711529804,-0.00338040289668424,0.029550937104428,0.00619421389124385,0.0358596271360957,0.0304997976419372,0.0190997388360993,0.0371582892265429
"2005/4/6",-0.0425816644520573,-0.0244055766010291,0.0389121844010651,-0.0453664679111369,0.0549021736448648,0.0344302504683533,0.0111555952837275,0.0431688026977232,-0.0358205897321652,0.0635345477742995,-0.685363972428668,-0.0123631226419469,0.724743900360752,0.287869733530772,-0.0136171399576168,0.348245682578048,0.049921080032935,0.0788065725281024,-0.00465323354359253,0.132327982670975,0.0404164054919922,0.0338029058537078,0.0921089003475293,-0.0151976358515715,0.00164570400088456,-0.00431859407843579,0.0102612375388004,0.00241820792623483,-0.0031397193168338,-0.00872218379004892,0.00434321848726648,0.00253731171313196,0.0585886191384474,-0.00409401583800679,0.0259021342558999,0.00554360515938125,0.0394266866995248,0.0339724282793797,0.0230978732994656,0.0370880050101038
"2005/4/7",-0.0359298223504859,-0.0296713749508306,0.0388538787933906,-0.0224126629792302,0.056615141386065,0.0395133368655452,0.0160783468956196,0.046545631969166,-0.0387292868127861,0.0733064677839529,-0.725100814038836,-0.0393960817799915,0.850354601559608,0.289679709800934,0.0136023567173157,0.354010594347961,0.0587510224348425,0.0922501820299978,-0.00110253074192669,0.137688328049072,0.0409036331340298,0.0381101502149477,0.0981040253460313,-0.0152699886121881,0.00258607191230603,-0.00449944064992214,0.0101127640141467,0.00198543776063718,-0.00402225298559209,-0.00810538356997378,0.00467845260831714,0.002206353686483,0.0398825372081262,-0.00859715544725181,0.029935767341249,0.00579044422278804,0.0406670081274633,0.0367110010279822,0.0226423159522625,0.0370781287057729
"2005/4/8",-0.0286488502353979,-0.0361891436256824,0.0333828503926316,-0.0236402605076637,0.0692091023137828,0.0518130876367303,0.0232008192392511,0.0537141965354681,-0.0381968797396301,0.0815369774409469,-0.684880495264047,-0.0184103498191339,1.02994068626317,0.289630260272151,0.00663466443083707,0.37332047880247,0.0516247002723951,0.0921366734970978,-0.00468152161830084,0.13913468209677,0.0474661858810074,0.0372305759043033,0.0939781697968624,-0.0149323964016171,0.00348361416260427,-0.00601940791051354,0.00982323768744681,0.00233076167222453,-0.00248554802355313,-0.00741062565317334,0.00406573481240786,0.00093744728647389,0.0296084608138302,-0.0105926892723233,0.0553800994055414,0.00994839704220041,0.0441337489761984,0.0357926723591488,0.0226172281679867,0.0369985986249756
"2005/4/11",-0.0423254430112323,-0.0413175009045244,0.0541633046101763,-0.0319687360237256,0.0655818850223189,0.0546589807964279,0.0280334946982014,0.0605552101110124,-0.0304235100256223,0.0817846380858801,-0.664395334876616,-0.00328447779797234,0.99588683167951,0.289839607301233,0.00401165472836068,0.370109579999147,0.0542791226434044,0.0953613472806327,-0.00645407305202405,0.139592726361487,0.055844515347123,0.0441728485994988,0.112012914226184,-0.0149355691603838,0.00308024992691711,-0.00624523624144457,0.00961281200149638,0.00151572552535249,-0.00211713115521824,-0.00707979385460188,0.00427144802752247,0.000681428731435155,0.0352524423406743,-0.00923922346479697,0.055984065516219,0.0106884234466339,0.0497172956508879,0.0471467917100516,0.0240126995384493,0.0369007167488458
"2005/4/12",-0.045797222228719,-0.0458600156537315,0.0628267367846425,-0.0512588961907311,0.0609497455502395,0.0584182406626593,0.0330316710459074,0.0682964499063345,-0.0291513454092891,0.0816814918123676,-0.594354226293583,0.0234087224124219,0.9908300544958,0.289380150907586,0.0217038152504202,0.392809504433926,0.0486408770842394,0.0876879952183324,-0.00815120138651805,0.137920269269338,0.0541235540223577,0.0406765084277187,0.101569004600604,-0.0146274752060411,0.0026674800461263,-0.0054691319386354,0.00949019734656806,0.00209245716827361,-0.00309501696655554,-0.00385991333074296,0.00460869123265984,0.00130859853957204,0.0160883844141798,-0.0119426207403047,0.0534637238241237,0.00971609259353178,0.0427853979733514,0.040021745622896,0.0186954085912143,0.0364813847157639
"2005/4/13",-0.0511177617608263,-0.04577576765277,0.0647388611056939,-0.0470281321296941,0.0538857066567893,0.0594845449658712,0.028680910785353,0.0645591760342994,-0.0237662215799005,0.0820192930359563,-0.491312941042563,0.0392506777861186,1.06582100104856,0.288489542599776,0.0550736722889593,0.377505736779178,0.0307033730695602,0.0930046758823562,-0.00710557369007865,0.13829197585683,0.060700487937722,0.0307062942649125,0.107625030027628,-0.014857783003867,0.000283671191243802,-0.00678171802532291,0.00914759456731638,0.0018080574402999,-0.00279931502555139,-0.00207228116821968,0.00597431702307949,0.00227023745110393,0.012457387304316,-0.011859422029809,0.0692764029111933,0.0118942838702926,0.0324788638591169,0.0230434963995833,0.0155832225948288,0.0277036985363014
"2005/4/14",-0.06945249160911,-0.0452923556231838,0.106335115554611,-0.0463142704715137,0.047939441054871,0.0610016568570476,0.0280352319531549,0.0650397114611006,-0.0194677193759987,0.0853693196329788,-0.341372082585742,0.0576811701606298,1.17043936814758,0.293555910322723,0.0961768882915263,0.394297614270781,0.0155859589450758,0.0928611225893153,-0.0248579276205978,0.138493876434424,0.0632517160271227,0.0323852851691267,0.110236700923726,-0.0142000742127476,0.000851489424167293,-0.00878113492528812,0.00810648981822689,0.000714656649207186,-0.00352272561104889,0.00108244269997081,0.00503291630684265,0.00160718131470966,0.0219285544708127,-0.0108732991630212,0.0403495173755906,0.00942553128372834,0.0291013098027523,0.0191269423762577,0.0180160767486169,0.0210290481555199
