"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40"
"2005/4/1",-0.151263780746642,-0.313373926251055,0.232244764503002,-0.149558432207128,0.431660622031498,0.78304442157405,0.554271076279732,0.881055760420699,-0.0441968723704614,0.952038792096047,-0.819836567464443,-0.0784092545638326,0.514012718265404,1,-0.147238110111607,0.920163773609676,0.378272288963705,0.624817029224858,-0.149818483525093,0.77131424047205,0.434087289047832,0.263868846185292,0.720101031974207,-0.832816380016374,0.274480044460231,-0.418644588285854,1,0.227805707869471,0.18587490310284,0.052564296609028,0.313789718722218,0.133143708073196,0.834642739917615,0.0103632326984264,0.25839918591353,0.295357230199372,0.726661835892373,0.659900089487932,0.475452765968284,1
"2005/4/4",-0.194004868013265,-0.373521707997514,0.252581706855704,-0.2105466834382,0.494291253434643,0.720213579680862,0.358399875405515,0.717017547652866,-0.196131372572326,0.759941379652631,-0.805747597980863,-0.0880624670511779,0.517448734452815,1,-0.0335261131564028,0.959434236263681,0.351680824214885,0.633434440393073,-0.14819297785561,0.746904719396014,0.455157665211585,0.269483173519508,0.562048076400497,-0.873962648325897,0.22050894922046,-0.373390441649839,1,0.29629562504193,0.141797091364966,-0.152180956784007,0.28667419561858,0.1948840057648,0.823841067649186,-0.142346221317549,0.2058352193515,0.342217186198446,0.787660168053272,0.735824278406079,0.581967069053111,1
"2005/4/5",-0.230585655852655,-0.349919575871964,0.121253936794761,-0.243392971211628,0.584030275661812,0.624734725159712,0.248866741122613,0.657691915545877,-0.412757397438884,0.778304043929245,-0.781437567398118,-0.102046304135813,0.480142833875049,1,-0.0609295920876798,0.84481963655534,0.490940644536479,0.790281553301469,-0.0778782081047163,0.842885541717382,0.424572670894451,0.344281380483286,0.644018036858507,-0.98926258553878,0.195015359779685,-0.273686865803499,1,0.217822768053471,-0.0976145966305211,-0.247518833529154,0.297869305321168,0.182824996036227,0.707744911585335,-0.186163446765863,0.12870845746882,0.242835816491365,0.684270803014667,0.632529855152312,0.548536911936044,1
"2005/4/6",-0.384738752075665,-0.271804905906148,0.181278244708126,-0.313067432193344,0.621681408355839,0.516816411714583,0.151542360727227,0.548317766904057,-0.480540720540068,0.770550923020338,-0.737993743684473,-0.053802451175808,0.513350442323679,1,-0.0510548707472013,0.745345554399266,0.537881887015577,0.828026601588733,-0.0685613535980858,0.943637097936748,0.523315845545825,0.44335023417586,0.816297293194318,-0.86893174556703,0.1344933100083,-0.241274943918673,1,0.230121008440816,-0.176654658111089,-0.316794385821242,0.357777700795009,0.221188379104412,0.621364275161277,-0.221104373995567,0.112009845859584,0.216781676037883,0.766269433365135,0.706892315353415,0.699113872386455,1
"2005/4/7",-0.325570009769956,-0.331211306770017,0.180998152303346,-0.157833534303893,0.639176640541296,0.594394504525086,0.218550902720068,0.58948998138454,-0.51981876246121,0.892533267366779,-0.773725405624177,-0.169063159756892,0.587992621649444,1,0.0509159654385957,0.766514390085713,0.623912288946579,0.971961746400583,-0.0160687921460235,0.997433518890495,0.529508685232033,0.498706708317525,0.872081820593364,-0.875105532685892,0.211108276561066,-0.250993853898222,1,0.187863246784912,-0.22583400220168,-0.290598698445697,0.385145271770288,0.191687784450031,0.424226316394476,-0.410321670850842,0.129363270614434,0.227305986232316,0.781681536105212,0.758914432534193,0.689446748187584,1
"2005/4/8",-0.259623361090039,-0.40402459872231,0.156293944501559,-0.166754433190796,0.731251187983452,0.765465202583191,0.308783353397042,0.670823127616805,-0.509694243062281,0.99494895093694,-0.714042223467997,-0.0784986446409846,0.713800321611224,1,0.0250097603366026,0.806332593466973,0.560085064883219,0.971194594745944,-0.0685893860319283,1,0.615844602817779,0.484367376351129,0.817235343632802,-0.848727307967529,0.28751622797757,-0.338836857899641,1,0.220278900492572,-0.140613126650711,-0.26655048688118,0.327731810192013,0.081628337427547,0.316517450628823,-0.507934391142274,0.238353883704195,0.385617526869642,0.848591203804318,0.742501405620892,0.687797481070275,1
"2005/4/11",-0.382112155760891,-0.461120736650898,0.253351319385758,-0.223582710945733,0.689173886574451,0.808725268411399,0.376067109869531,0.752365675484467,-0.410484380301644,1,-0.695487632236968,-0.0141023162774393,0.689833141682865,1,0.0151221699839371,0.796103596084719,0.588268602833553,0.99853799044811,-0.0945285085158038,1,0.716838241747751,0.579648124460359,0.969081769484797,-0.851177574534609,0.254352556380824,-0.356380567046392,0.991980091612703,0.144032680495773,-0.119790694193593,-0.254674727427956,0.344489626691825,0.0593405498537439,0.377132718670596,-0.444097005310289,0.24120420461088,0.415601551257797,0.959212955307568,0.985608526210808,0.728479858136046,1
"2005/4/12",-0.411000185229764,-0.514422244641523,0.292264241308236,-0.34661581212187,0.647621986488689,0.860071177787755,0.440793963349968,0.847654945921733,-0.393546289203512,1,-0.630154106876274,0.102885481240291,0.686330401832851,1,0.0797566622687067,0.837929043585522,0.522573365285561,0.92907313073428,-0.119385216663741,1,0.694181749119804,0.532332196705914,0.881870837710686,-0.833240723006708,0.22036481359254,-0.314427786621853,0.958204084804568,0.199563518412948,-0.175172567906879,-0.141693436509718,0.369466404173598,0.11361382465607,0.1798110482266,-0.565239034272506,0.230640846314911,0.380061120346843,0.841499338052904,0.845418950183187,0.601420401438788,1
"2005/4/13",-0.458513777530222,-0.505583537712649,0.301039710719197,-0.315228142821309,0.577077710074453,0.868862046269189,0.385363160396529,0.800576644273262,-0.320961396068361,1,-0.526359700415836,0.17238839752822,0.737005188281695,1,0.202541653140671,0.805774206011555,0.33289723427127,0.983857216205529,-0.0983509952965488,1,0.798184808759953,0.399720468831973,0.937333249680221,-0.845830559691414,0.0235713191359723,-0.39112737638364,0.923612245398501,0.172437724465417,-0.158496831623663,-0.0735387643577194,0.478930419479183,0.196949349245853,0.14100723373077,-0.558378520515843,0.300008670361218,0.466810189468529,0.668297604090029,0.526663270142598,0.503869036551177,0.799989708240834
"2005/4/14",-0.610055660311044,-0.500901903350719,0.50895020677765,-0.306237479498721,0.511702961530611,0.890787703072073,0.375974171026441,0.8066222714287,-0.261435245774041,1,-0.381884748154523,0.256434002211948,0.803961538047326,1,0.348965367418611,0.842362086624978,0.174059683263683,0.944003338993684,-0.397037423693497,1,0.807138416297031,0.420267583746768,0.955232934948679,-0.809869519323986,0.0706365297367909,-0.515330975308781,0.827904627848048,0.0689265643293686,-0.194924797779055,0.0389191511716517,0.404658569412737,0.139852685132871,0.248174344461045,-0.513244567263706,0.180122855117402,0.376353257000345,0.611449547529971,0.44234533669683,0.583449504872336,0.640450613008689
