"","x"
"2005/4/4",-0.00205099963284504
"2005/4/5",-0.000104199299945784
"2005/4/6",0.00286987885116084
"2005/4/7",0.0025949099776273
"2005/4/8",-0.00109515376210702
"2005/4/11",0.00136942566273359
"2005/4/12",-0.0052488212088569
"2005/4/13",-0.00349822965747725
"2005/4/14",-0.00406181854126216
"2005/4/15",-0.0032126478536305
"2005/4/18",-0.00384007238079469
"2005/4/19",0.00628353178859656
"2005/4/20",0.00179917900576561
"2005/4/21",-0.00534065723226366
"2005/4/22",0.00263572082659958
"2005/4/25",-0.000505494764934006
"2005/4/26",-0.000469429882576824
"2005/4/27",-0.00465791669168477
"2005/4/28",0.00335360995898373
"2005/4/29",-0.000626645206671138
"2005/5/2",-0.00111502884539901
"2005/5/3",-0.000518978438808142
"2005/5/4",0.000168226801301701
"2005/5/5",0.00360388665823206
"2005/5/6",-0.00446263357322491
"2005/5/9",-0.000901125910882762
"2005/5/10",0.000238907131276891
"2005/5/11",0.00120711693383282
"2005/5/12",-0.000680815742586611
"2005/5/13",-0.000449343279982584
"2005/5/16",-0.00232967536980427
"2005/5/17",0.000515397071182082
"2005/5/18",0.0019810238232661
"2005/5/19",-0.00146710918689853
"2005/5/20",0.000182166199606788
"2005/5/23",0.00134751352210379
"2005/5/24",0.00530097588748142
"2005/5/25",0.000456963267157155
"2005/5/26",0.00093061508177211
"2005/5/27",-0.000843763356303119
"2005/5/30",0.0006912389533771
"2005/5/31",0.00735777278235534
"2005/6/1",0.0103115237805631
"2005/6/2",-0.0036928859522944
"2005/6/3",-0.00236397760372413
"2005/6/6",0.000167535258700748
"2005/6/7",0.00674534028078443
"2005/6/8",0.000269714107914436
"2005/6/9",0.000397808321939283
"2005/6/10",-0.000824019180764027
"2005/6/13",-0.00187637712262406
"2005/6/14",0.000251337530055988
"2005/6/15",-0.00940877590172674
"2005/6/16",-9.08644785947304e-05
"2005/6/17",-0.00127463729346559
"2005/6/20",0.00370081757287768
"2005/6/21",0.00712583549635009
"2005/6/22",0.00681309923874426
"2005/6/23",0.000956809415521617
"2005/6/24",-0.000114786611716653
"2005/6/27",-0.00366677936694435
"2005/6/28",-0.00343464229718654
"2005/6/29",0.00100127752287244
"2005/6/30",0.00118860792061197
"2005/7/1",-0.00159052467772639
"2005/7/4",-0.00130827860418839
"2005/7/5",-0.00622984895981465
"2005/7/6",0.000132448110932719
"2005/7/7",-0.000407884034882747
"2005/7/8",0.00382835856652446
"2005/7/11",-0.00217074608603723
"2005/7/12",-0.00354815132373186
"2005/7/13",0.00445050140262362
"2005/7/14",0.00274780768460003
"2005/7/15",0.000935512260664561
"2005/7/18",0.000505871164198291
"2005/7/19",0.00110908096060217
"2005/7/20",0.00013298638998058
"2005/7/21",-0.00496733192807587
"2005/7/22",0.00778473924375181
"2005/7/25",-0.00095591514222569
"2005/7/26",0.000129381862998472
"2005/7/27",0.00168427998059692
"2005/7/28",0.00245607558529976
"2005/7/29",-0.00185888353383404
"2005/8/1",-0.00074138596992093
"2005/8/2",0.00294692091732964
"2005/8/3",-0.00128609257470506
"2005/8/4",-0.00367421940841631
"2005/8/5",-0.00354514905081644
"2005/8/8",0.000951301433013479
"2005/8/9",-0.00206959521262803
"2005/8/10",0.00839982346611124
"2005/8/11",0.00233454023319304
"2005/8/12",0.00153762755343704
"2005/8/15",0.00186109261586674
"2005/8/16",-0.00126395113623426
"2005/8/17",-0.00876941586706188
"2005/8/18",-0.00480636903237937
"2005/8/19",0.0031032192195033
"2005/8/22",0.00347313311913011
"2005/8/23",-0.00558564390956027
"2005/8/24",-0.00219075772028352
"2005/8/25",0.000611259428812239
"2005/8/26",-0.00354145343211697
"2005/8/29",0.00400772137485961
"2005/8/30",0.00315403052384721
"2005/8/31",0.00146205993744753
"2005/9/1",0.0040235223119837
"2005/9/2",-0.0014101882896595
"2005/9/5",0.00192336985048369
"2005/9/6",-0.00092189687965925
"2005/9/7",-0.00151227477748807
"2005/9/8",-9.37277542072386e-05
"2005/9/9",0.00403160989267095
"2005/9/12",-0.00312502783602608
"2005/9/13",-0.0038772635198623
"2005/9/14",0.00112119586423018
"2005/9/15",0.00226014777426089
"2005/9/16",0.00200954271992621
"2005/9/19",0.00656617126010559
"2005/9/20",0.0015051549080611
"2005/9/21",-0.000440857634829272
